"행정구역별(시군구)","성별",2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역별(시군구)","성별",1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계
"서대문구","계",43298,39384,22849,7099,1042,7016,1378,3914,43418,39036,21588,7917,1006,7135,1390,4382,44795,40211,21768,8261,1075,7608,1499,4584,46449,41741,21659,8957,1104,8507,1514,4708,49863,44411,22522,10144,1141,9178,1426,5452
"서대문구","남자",18918,17052,10289,2712,431,2994,626,1866,18891,16856,9866,2904,383,3054,649,2035,19553,17477,10025,3048,410,3261,733,2076,20161,18080,10037,3239,440,3670,694,2081,21359,19032,10227,3790,439,3882,694,2327
"서대문구","여자",24380,22332,12560,4387,611,4022,752,2048,24527,22180,11722,5013,623,4081,741,2347,25242,22734,11743,5213,665,4347,766,2508,26288,23661,11622,5718,664,4837,820,2627,28504,25379,12295,6354,702,5296,732,3125
"마포구","계",53382,45531,21923,10301,686,10848,1773,7851,54162,45536,20949,10832,648,11287,1820,8626,56837,46117,20762,11018,663,11909,1765,10720,59248,47643,20927,11753,649,12595,1719,11605,63172,50408,20980,12980,709,14010,1729,12764
"마포구","남자",24004,20445,10594,3997,292,4649,913,3559,24036,20177,10072,4151,261,4744,949,3859,24992,20435,10135,4092,275,5035,898,4557,25671,20949,10167,4369,275,5285,853,4722,27264,22244,10355,4765,313,5942,869,5020
"마포구","여자",29378,25086,11329,6304,394,6199,860,4292,30126,25359,10877,6681,387,6543,871,4767,31845,25682,10627,6926,388,6874,867,6163,33577,26694,10760,7384,374,7310,866,6883,35908,28164,10625,8215,396,8068,860,7744
"양천구","계",32878,30350,13458,8520,638,7218,516,2528,33088,30287,12439,8770,640,7865,573,2801,34304,31433,12097,9315,711,8716,594,2871,36345,33289,12308,9976,722,9695,588,3056,39436,36114,12426,11295,810,10983,600,3322
"양천구","남자",15374,14043,7106,3234,254,3182,267,1331,15252,13764,6580,3223,250,3421,290,1488,15827,14281,6487,3413,268,3790,323,1546,16658,15059,6620,3645,268,4219,307,1599,18058,16319,6705,4218,313,4753,330,1739
"양천구","여자",17504,16307,6352,5286,384,4036,249,1197,17836,16523,5859,5547,390,4444,283,1313,18477,17152,5610,5902,443,4926,271,1325,19687,18230,5688,6331,454,5476,281,1457,21378,19795,5721,7077,497,6230,270,1583
"강서구","계",60988,48003,16627,18848,743,10874,911,12985,68237,50204,15992,19968,799,12569,876,18033,73011,52875,15968,21221,823,13963,900,20136,79371,56978,16447,23041,904,15622,964,22393,86172,61335,16521,24864,1010,18027,913,24837
"강서구","남자",28199,22121,8583,7689,286,5046,517,6078,31534,23120,8371,8158,311,5788,492,8414,33780,24433,8454,8693,326,6452,508,9347,36229,26098,8655,9364,382,7148,549,10131,39138,28061,8767,9983,415,8389,507,11077
"강서구","여자",32789,25882,8044,11159,457,5828,394,6907,36703,27084,7621,11810,488,6781,384,9619,39231,28442,7514,12528,497,7511,392,10789,43142,30880,7792,13677,522,8474,415,12262,47034,33274,7754,14881,595,9638,406,13760
"구로구","계",42055,30828,14825,9498,1178,4443,884,11227,42984,31549,14533,10017,1155,4905,939,11435,44151,32586,14196,11042,1235,5248,865,11565,47740,35208,14535,12611,1385,5759,918,12532,50971,37640,14911,13837,1579,6556,757,13331
"구로구","남자",21128,15050,7919,4004,483,2129,515,6078,21366,15171,7840,4032,462,2314,523,6195,21887,15663,7777,4419,467,2506,494,6224,23455,16770,7940,5067,543,2679,541,6685,25085,17918,8183,5606,680,3014,435,7167
"구로구","여자",20927,15778,6906,5494,695,2314,369,5149,21618,16378,6693,5985,693,2591,416,5240,22264,16923,6419,6623,768,2742,371,5341,24285,18438,6595,7544,842,3080,377,5847,25886,19722,6728,8231,899,3542,322,6164
"금천구","계",31728,24991,15407,4687,616,3451,830,6737,32928,25611,14950,4891,633,4079,1058,7317,34564,27251,14702,6178,621,4813,937,7313,37778,28594,15237,5960,711,5651,1035,9184,42334,30355,15331,6641,824,6661,898,11979
